id,mz_low,mz_high,name,root_region_intensity,spec_id
86,203.0749,203.0899,L-Tryptophan,270.2806091308594,9d5c4ddb-0253-4f47-8008-66015bd1188b
90,214.0405,214.0555,Glycerylphosphorylethanolamine,2123.6416015625,e8495bed-048c-4159-822a-b08326edc4a6
91,215.0247,215.03969999999998,D-Glucose,444.45611572265625,7de5c4a1-f222-40dd-aa70-7e715a033cdb
94,225.0916,225.1066,Carnosine,258.3953857421875,4e533894-ca13-4582-927b-39fa76a44795
95,229.0041,229.01909999999998,D-Ribose 5-phosphate,159.44532775878906,536d6fdd-9891-4dbb-bfb2-990026e70db1
96,239.107,239.12199999999999,Homocarnosine,281.5968017578125,fd040749-ebea-470a-a558-d0da46e6b648
99,256.0877,256.10269999999997,Glycerophosphocholine,241.9037322998047,b201e6f8-06b3-4b80-bdc3-fcbc5ff579f8
103,267.0654,267.0804,Inosine,546.3139038085938,84d36b9a-b6ed-4f26-a1f1-8460269a3d87
104,279.2249,279.2399,Linoleic acid,2581.52099609375,06ac19e9-e466-4ad9-8650-c3d1c3353f3a
105,281.24060000000003,281.2556,Oleic acid,21543.109375,98d79139-8288-4b6d-9737-f186e03f0604
107,283.2562,283.27119999999996,Stearic acid,24143.353515625,32fe08c5-b005-4040-bf0f-720b20fd74fa
108,303.2249,303.2399,Arachidonic acid,16392.0625,998b36cb-cc20-4f96-87f9-e1ddd02e01a7
109,306.06850000000003,306.0835,Glutathione,1385.0213623046875,69137bcc-2539-4443-9af3-3b4babbab896
110,308.091,308.106,N-Acetylneuraminic acid,386.0782165527344,98b1660c-b031-4e13-be10-aa9e0066c56d
111,322.0368,322.0518,Cytidine monophosphate,308.0565185546875,12b49cb9-c2cf-46c0-a4ba-89ebcb138f7d
113,327.2249,327.2399,Docosahexaenoic acid,10642.1435546875,61c5564b-29a5-42e1-b5c8-dfd679b52e26
114,328.0372,328.05219999999997,Cyclic AMP,455.3153381347656,0c35b1a8-7d1b-4e90-a91d-2a8e4f2bced4
115,338.981,338.996,Fructose 1_6-bisphosphate,281.1248474121094,8d466500-8402-4b2b-a7da-eafc678d9abe
116,346.0478,346.0628,Adenosine monophosphate,3259.97900390625,50af3fcb-bf32-474f-b451-93c165ba68ce
117,347.032,347.04699999999997,Inosinic acid,1332.42431640625,5e1fc627-c33b-42bf-a4c0-5e0c235ead49
118,362.0427,362.0577,Guanosine monophosphate,593.2916259765625,7f5f3bb3-b735-41d2-ba2b-6cbf7d3b317a
124,409.2285,409.2435,LysoPA(0:0/16:0),569.413818359375,cdcd855e-6a90-4929-8d39-05556ad97e7d
127,426.0141,426.02909999999997,ADP,686.68505859375,f888b6d2-5734-49b3-a765-d83e41a0260d
128,435.24420000000003,435.2592,LysoPA(0:0/18:1(9Z)),692.4668579101562,fa94f6ad-ee70-4c3f-a47c-94fd7806ce22
129,437.2598,437.27479999999997,LysoPA(0:0/18:0),1943.1019287109375,17428226-9567-4fd1-bcb2-481488863c34
130,442.009,442.024,Guanosine diphosphate,205.00682067871094,db15d911-a2f9-4f88-85e8-96cd063ff610
131,445.0451,445.0601,CDP-ethanolamine,129.9181671142578,a51106b7-1bb4-438e-99d2-2cbcf977b139
133,436.2756,436.2906,LysoPE(P-16:0/0:0),174.26817321777344,03a33923-8a3f-496d-90f9-04b2e96fcc25
134,452.27070000000003,452.2857,LysoPE(0:0/16:0),551.244140625,85aca59f-cf55-4ae1-b54e-67109fd24426
135,457.2285,457.2435,LysoPA(20:4(8Z_11Z_14Z_17Z)/0:0),238.62159729003906,ab65ad31-dc50-4dc0-99f2-3e2e3a84b82a
136,461.2598,461.27479999999997,LysoPA(20:2(11Z_14Z)/0:0),152.88034057617188,2d91f0b5-2a5b-42bd-acb2-5273a95641a3
137,463.2755,463.2905,LPA(20:1),196.90328979492188,11df48c6-d62c-463c-84a3-fb0c6d862426
138,151.0181,151.0331,Xanthine,297.5170593261719,81617e1a-87c9-4c02-8b02-c95eac12963c
139,464.3071,464.3221,LysoPE(P-18:0/0:0),253.1893310546875,132e9ad9-27f2-44aa-aa84-c416918432b2
140,476.27070000000003,476.2857,LysoPE(0:0/18:2(9Z_12Z)),123.15547180175781,54c9996f-92a9-4663-b80c-10b1da86d9e1
141,478.2864,478.3014,LysoPE(0:0/18:1(11Z)),1120.241943359375,1fd8408a-5557-41c0-a598-72c078390148
142,480.302,480.317,LysoPE(0:0/18:0),1141.83935546875,b24b63e5-3938-458a-a5f3-b04ff1f2fbb4
143,481.2285,481.2435,LysoPA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0),254.84909057617188,c4fedf42-09a5-4ce0-9ea0-8afe076eff73
145,137.0276,137.0426,Urocanic acid,352.306884765625,27b71725-1faa-4d84-8ba9-15fef04e268e
146,485.2598,485.27479999999997,LysoPA(22:4(7Z_10Z_13Z_16Z)/0:0),144.9684295654297,a66e43e3-b8c2-4ace-94e8-86dec60cf4f0
148,365.2253,365.2403,Tetrahydrocortisol,126.4183349609375,87ac102d-44ab-4851-8356-f22f3ab26294
149,500.27070000000003,500.2857,LysoPE(0:0/20:4(5Z_8Z_11Z_14Z)),876.0260620117188,1130c62a-f11c-41d1-8c4b-002bcd9cfeb4
151,504.302,504.317,LysoPE(0:0/20:2(11Z_14Z)),110.81153869628906,1f035e9f-29e3-4a40-bec9-13f35ce323f5
152,505.98040000000003,505.9954,Adenosine triphosphate,103.6885986328125,59af17fd-73bb-4b67-b62e-d75b9401b59e
153,506.3177,506.3327,LysoPE(0:0/20:1(11Z)),380.0318603515625,ff724291-fd9e-4931-a73b-a5fb70af410e
155,508.3333,508.3483,LysoPE(0:0/20:0),187.35975646972656,0abb93b2-6dee-40b6-b603-cae7a3c0b976
161,524.2706999999999,524.2857,LysoPE(0:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1009.5462646484375,be72721b-3f1d-464a-8d25-6de63344dbc1
164,528.3019999999999,528.317,LysoPE(0:0/22:4(7Z_10Z_13Z_16Z)),413.46820068359375,822dc9c0-15af-4e3f-96fe-847d8d0cd2cf
165,532.3332999999999,532.3483,LysoPE(0:0/22:2(13Z_16Z)),41.82512664794922,7b277356-1259-429f-826b-a84a65b7d084
166,534.3489999999999,534.364,LysoPE(0:0/22:1(13Z)),60.32596206665039,45947b91-7e28-4d6b-923f-cd1eae4b581f
167,540.0455,540.0605,Cyclic ADP-ribose,122.3318862915039,2cd106fb-fc70-4680-9efb-8f698172a6a3
169,552.2656999999999,552.2807,PE(23:6),251.60569763183594,798857fc-27fd-443c-b340-29329399fa13
170,554.3177,554.3327,LPE(24:5),87.79151153564453,2630f1ae-e278-4002-9bcb-315f3c5cb91a
173,402.9874,403.00239999999997,Uridine 5'-diphosphate,446.91412353515625,c9addc87-f68a-4679-a8aa-153bf9948dc2
179,599.3127,599.3277,LysoPI(0:0/18:0),581.03955078125,f4f13458-48b8-4b9a-b353-10dad089c018
181,615.1619999999999,615.177,Heme,142.06883239746094,78e19a2f-e5b3-440f-a855-d4fcdfcfed99
182,619.2814,619.2964000000001,LPI(20:4),221.37147521972656,e5ef667d-6280-4802-aec3-571b85eb13c0
183,647.4581999999999,647.4732,PA(16:0/16:0),248.03775024414062,f9417fe3-0ef6-4f0c-be12-6927196beca8
186,673.4739,673.4889000000001,PA(16:0/18:1(11Z)),681.6631469726562,e7e8e8c5-8cd2-45a9-b234-c77ade5931d9
191,699.4894999999999,699.5045,PA(18:0/18:2(9Z_12Z)),593.3605346679688,fced5781-be6d-4832-9b7c-114e176b57e3
192,701.5052,701.5202,PA(14:0/22:1(13Z)),846.6197509765625,706d71bb-4e7a-4680-9336-a39cd11a37cc
214,744.5473999999999,744.5624,PE(14:0/22:1(13Z)),971.1410522460938,091a5577-daa4-4d84-95a7-ddd0849516f4
220,747.4894999999999,747.5045,PA(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1399.84033203125,71f26908-b798-4502-bddc-276a28550607
229,762.5003999999999,762.5154,PE(16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),401.3384704589844,334bbec7-5766-4b1c-9bd5-a7c6cb31a357
231,766.5317,766.5467000000001,PE(16:0/22:4(7Z_10Z_13Z_16Z)),1094.1656494140625,fdd2f9fa-c431-45cc-9703-57047cdb9003
252,790.5317,790.5467000000001,PE(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1321.8914794921875,eb9cfb2e-6038-4fb6-ade2-c84c7b19b686
296,885.5423,885.5573,PI(16:0/22:4(10Z_13Z_16Z_19Z)),6010.853515625,36b5979f-9f84-43d1-801a-39582c19da31
303,913.5735999999999,913.5886,PI(18:0/22:4(10Z_13Z_16Z_19Z)),91.47907257080078,b292b145-340c-4682-b826-34ea2662884d
316,1045.4519620715394,1045.5085489523324,Phosphatidylinositol-4_5-bisphosphate_1,101.00103759765625,a19d66e2-3889-49de-bb7a-1ed4b591ea82
317,965.4934352022058,965.5411977251838,PIP(16:0/22:4(10Z_13Z_16Z_19Z))_1,151.2910919189453,6e5a8632-c385-41fa-a0f4-002d2042fec5
318,944.4735531077666,944.5422896082262,PS 49:15_1,245.6290740966797,67f3c1b8-3ce6-4b77-a2b9-dc4a35c8140b
